datetime,station_id,lat,lon,co,no,no2,o3,pm10,pm25,relativehumidity,so2,temperature,overall_aqi,day_of_week,month,hour_sin,hour_cos
2021-01-07 06:15:00+00:00,6943,19.1135051,73.008978,1590.0,,79.25,71.25,258.0,154.0,,15.49,,15900,3,1,1.0,6.123233995736766e-17
2021-01-07 07:30:00+00:00,6943,19.1135051,73.008978,1330.0,,55.42,114.32,279.93,177.0,,9.86,,13300,3,1,0.9659258262890683,-0.25881904510252063
2021-01-07 08:00:00+00:00,6943,19.1135051,73.008978,1230.0,,46.64,128.32,276.0,166.42,,7.88,,12300,3,1,0.8660254037844387,-0.4999999999999998
2021-01-07 08:15:00+00:00,6943,19.1135051,73.008978,1230.0,,47.68,134.05,276.0,143.0,,7.68,,12300,3,1,0.8660254037844387,-0.4999999999999998
2021-01-07 08:30:00+00:00,6943,19.1135051,73.008978,1200.0,,46.67,148.1,264.33,143.0,,7.6,,12000,3,1,0.8660254037844387,-0.4999999999999998
2021-01-07 09:30:00+00:00,6943,19.1135051,73.008978,1300.0,,50.37,132.59,211.72,114.0,,9.58,,13000,3,1,0.7071067811865476,-0.7071067811865475
2021-01-07 11:30:00+00:00,6943,19.1135051,73.008978,1770.0,,169.61,56.81,256.67,155.0,,327.73,,17700,3,1,0.258819045102521,-0.9659258262890682
2021-01-07 12:00:00+00:00,6943,19.1135051,73.008978,1500.0,,117.66,66.07,256.0,155.0,,332.96,,15000,3,1,1.2246467991473532e-16,-1.0
2021-01-08 04:45:00+00:00,6943,19.1135051,73.008978,1480.0,,68.01,4.76,252.0,143.0,,0.0,,14800,4,1,0.8660254037844386,0.5000000000000001
2021-01-08 06:00:00+00:00,6943,19.1135051,73.008978,1570.0,,51.5,8.72,252.0,404.0,,128.63,,15700,4,1,1.0,6.123233995736766e-17
2021-01-08 06:15:00+00:00,6943,19.1135051,73.008978,1460.0,,60.74,,252.0,,,,,14600,4,1,1.0,6.123233995736766e-17
2021-01-08 07:15:00+00:00,6943,19.1135051,73.008978,1600.0,,117.85,14.13,985.0,179.0,,427.44,,16000,4,1,0.9659258262890683,-0.25881904510252063
2021-01-08 07:45:00+00:00,6943,19.1135051,73.008978,1340.0,,107.7,13.41,299.0,179.0,,402.46,,13400,4,1,0.9659258262890683,-0.25881904510252063
